id,storyday,storyevent
ykucvydbjb,26/055,Friends with
ykucvydbjb,10/056,Friends with
ykucvydbjb,21/056,Friends with
ykucvydbjb,15/057,Bjurholm Elementary School
ykucvydbjb,08/059,No longer friends with
ykucvydbjb,09/059,Friends with
ykucvydbjb,15/060,Moved to Hofn 6 with family
ykucvydbjb,18/060,Friends with
ykucvydbjb,20/061,Friends with
ykucvydbjb,08/064,Moved to Bjurholm 1 with family
ykucvydbjb,08/064,Graduated from Bjurholm Elementary School
ykucvydbjb,08/064,Friends with
ykucvydbjb,10/064,Friends with
ykucvydbjb,15/064,Bjurholm High School
ykucvydbjb,02/065,Friends with
ykucvydbjb,24/065,No longer friends with
ykucvydbjb,06/066,Friends with
ykucvydbjb,07/066,No longer friends with
ykucvydbjb,11/066,Friends with
ykucvydbjb,12/066,Dating
ykucvydbjb,24/066,No longer friends with
ykucvydbjb,25/066,Caught V2
ykucvydbjb,28/066,Died from V2
g5hyqn8r6w,28/051,Born in Hofn 12
g5hyqn8r6w,02/055,Friends with
g5hyqn8r6w,21/056,Friends with
g5hyqn8r6w,15/057,Hofn Elementary School
g5hyqn8r6w,25/060,Friends with
g5hyqn8r6w,04/062,Friends with
g5hyqn8r6w,20/063,Friends with
g5hyqn8r6w,03/064,Friends with
g5hyqn8r6w,08/064,Graduated from Hofn Elementary School
g5hyqn8r6w,15/064,Hofn High School
g5hyqn8r6w,12/065,Friends with
g5hyqn8r6w,16/065,Dating
g5hyqn8r6w,17/065,Friends with
g5hyqn8r6w,01/067,Caught V2
g5hyqn8r6w,09/067,Friends with
g5hyqn8r6w,03/069,Caught V1
g5hyqn8r6w,24/069,Pregnant
g5hyqn8r6w,08/070,Graduated from Hofn High School
g5hyqn8r6w,15/070,Fisherman
g5hyqn8r6w,16/070,born
g5hyqn8r6w,20/070,Engaged
g5hyqn8r6w,24/070,Pregnant
g5hyqn8r6w,06/071,Married
g5hyqn8r6w,06/071,Moved to Hofn 4 to start home
g5hyqn8r6w,16/071,born
g5hyqn8r6w,25/074,Pregnant
g5hyqn8r6w,19/075,born
g5hyqn8r6w,04/076,Pregnant
g5hyqn8r6w,25/076,born
g5hyqn8r6w,21/082,Caught V5
g5hyqn8r6w,07/084,Caught V3
g5hyqn8r6w,13/084,Friends with
g5hyqn8r6w,08/085,Unemployed
g5hyqn8r6w,08/085,Mayor of Hofn
g5hyqn8r6w,18/085,Light smoker
g5hyqn8r6w,17/088,Nonsmoker
g5hyqn8r6w,08/091,No longer friends with
g5hyqn8r6w,10/091,Friends with
g5hyqn8r6w,15/092,No longer friends with
g5hyqn8r6w,03/093,Friends with
g5hyqn8r6w,18/098,Caught V6
g5hyqn8r6w,19/099,No longer friends with
g5hyqn8r6w,24/099,Friends with
g5hyqn8r6w,19/106,Friends with
g5hyqn8r6w,22/106,Friends with
g5hyqn8r6w,22/107,Bowel cancer
g5hyqn8r6w,07/108,Died from bowel cancer
j8s7g2wlf3,05/052,Born in Hofn 21
j8s7g2wlf3,08/052,Moved to Helvig 1 with family
j8s7g2wlf3,19/055,Friends with
j8s7g2wlf3,11/056,Friends with
j8s7g2wlf3,14/057,No longer friends with
j8s7g2wlf3,15/057,Helvig Elementary School
j8s7g2wlf3,20/057,Friends with
j8s7g2wlf3,26/057,Friends with
j8s7g2wlf3,23/059,Friends with
j8s7g2wlf3,01/060,Mother died
j8s7g2wlf3,21/060,Friends with
j8s7g2wlf3,06/062,Moved to Helvig 7 with family
j8s7g2wlf3,08/064,Graduated from Helvig Elementary School
j8s7g2wlf3,15/064,Helvig High School
j8s7g2wlf3,23/065,Dating
j8s7g2wlf3,28/066,Caught V2
j8s7g2wlf3,28/067,Friends with
j8s7g2wlf3,17/069,Caught V1
j8s7g2wlf3,08/070,Graduated from Helvig High School
j8s7g2wlf3,24/070,Single
j8s7g2wlf3,26/070,Dating
j8s7g2wlf3,12/071,Engaged
j8s7g2wlf3,13/071,Carpenter
j8s7g2wlf3,14/071,born
j8s7g2wlf3,07/072,Married
j8s7g2wlf3,07/072,Moved to Blonduos 13 with
j8s7g2wlf3,08/072,Waiter
j8s7g2wlf3,25/072,born
j8s7g2wlf3,25/072,born
j8s7g2wlf3,01/075,No longer friends with
j8s7g2wlf3,14/075,Friends with
j8s7g2wlf3,15/075,Moved to Hofn 31 with
j8s7g2wlf3,03/076,Miller
j8s7g2wlf3,08/076,Unemployed
j8s7g2wlf3,04/077,Hunter
j8s7g2wlf3,08/077,Unemployed
j8s7g2wlf3,02/078,No longer friends with
j8s7g2wlf3,04/078,Friends with
j8s7g2wlf3,08/078,Miller
j8s7g2wlf3,28/078,Friends with
j8s7g2wlf3,08/079,Moved to Blonduos 18 with
j8s7g2wlf3,10/079,Midwife
j8s7g2wlf3,26/082,Caught V5
j8s7g2wlf3,28/082,Friends with
j8s7g2wlf3,08/084,Caught V3
j8s7g2wlf3,06/089,No longer friends with
j8s7g2wlf3,09/089,Friends with
j8s7g2wlf3,18/098,Caught V6
j8s7g2wlf3,24/098,Widowed
j8s7g2wlf3,09/099,No longer friends with
j8s7g2wlf3,12/099,Dating
j8s7g2wlf3,15/099,Engaged
j8s7g2wlf3,09/100,Married
j8s7g2wlf3,10/100,Friends with
j8s7g2wlf3,07/101,born
j8s7g2wlf3,05/102,Widowed
j8s7g2wlf3,08/104,Friends with
j8s7g2wlf3,13/104,Dating
j8s7g2wlf3,21/104,No longer friends with
j8s7g2wlf3,21/104,Engaged
j8s7g2wlf3,18/105,Friends with
j8s7g2wlf3,19/105,Married
j8s7g2wlf3,19/105,Moved to Blonduos 14 with
j8s7g2wlf3,09/108,Friends with
j8s7g2wlf3,22/109,Asthma
j8s7g2wlf3,12/112,Friends with
j8s7g2wlf3,18/112,Retired
j8s7g2wlf3,06/113,Severe asthma
j8s7g2wlf3,15/113,Asthma
j8s7g2wlf3,09/124,No longer friends with
j8s7g2wlf3,17/125,Friends with
j8s7g2wlf3,18/126,No longer friends with
j8s7g2wlf3,23/126,Friends with
j8s7g2wlf3,05/140,No longer friends with
j8s7g2wlf3,19/140,Friends with
j8s7g2wlf3,20/140,No longer friends with
j8s7g2wlf3,24/140,Friends with
j8s7g2wlf3,01/143,Died from heart attack
gphr927pte,22/052,Born in Hofn 9
gphr927pte,08/054,Moved to Vardo 10 with family
gphr927pte,02/055,Moved to Bjurholm 9 with family
gphr927pte,15/056,Moved to Hofn 19 with family
gphr927pte,15/057,Friends with
gphr927pte,25/057,No longer friends with
gphr927pte,06/058,Friends with
gphr927pte,15/058,Hofn Elementary School
gphr927pte,02/059,Friends with
gphr927pte,08/060,Moved to Bjurholm 10 with family
gphr927pte,13/061,Friends with
gphr927pte,15/061,Friends with
gphr927pte,24/061,Friends with
gphr927pte,13/062,Friends with
gphr927pte,18/062,No longer friends with
gphr927pte,08/063,Friends with
gphr927pte,06/064,No longer friends with
gphr927pte,08/064,Friends with
gphr927pte,16/064,No longer friends with
gphr927pte,19/064,Friends with
gphr927pte,08/065,Graduated from Bjurholm Elementary School
gphr927pte,11/065,Friends with
gphr927pte,15/065,Bjurholm High School
gphr927pte,27/066,Caught V2
gphr927pte,16/067,Dating
gphr927pte,21/067,Single
gphr927pte,21/067,No longer friends with
gphr927pte,21/067,Dating
gphr927pte,11/068,Friends with
gphr927pte,12/068,Friends with
gphr927pte,02/069,Caught V1
gphr927pte,08/071,Graduated from Bjurholm High School
gphr927pte,15/071,Moved to Hofn 38
gphr927pte,15/071,Single
gphr927pte,15/071,University of Hofn
gphr927pte,15/071,Librarian
gphr927pte,23/071,No longer friends with
gphr927pte,24/071,Friends with
gphr927pte,03/072,Dating
gphr927pte,08/072,Unemployed
gphr927pte,08/072,Florist
gphr927pte,10/072,Single
gphr927pte,10/072,No longer friends with
gphr927pte,17/072,Left home
gphr927pte,17/072,Moved to Hofn 39
gphr927pte,22/072,Friends with
gphr927pte,24/072,Pregnant
gphr927pte,01/073,Dating
gphr927pte,09/073,Engaged
gphr927pte,16/073,born
gphr927pte,05/074,Married
gphr927pte,08/075,Graduated from Hofn University
gphr927pte,08/075,Moved to Bjurholm 19
gphr927pte,08/075,Diary Farmer
gphr927pte,13/075,Unemployed
gphr927pte,13/075,Brewer
gphr927pte,17/075,Pregnant
gphr927pte,09/076,born
gphr927pte,28/078,Liver cancer
gphr927pte,03/079,Died from liver cancer
2cflu3pyq6,02/053,Born in Hofn 25
2cflu3pyq6,08/054,Moved to Bjurholm 10 with family
2cflu3pyq6,15/056,Moved to Hofn 6 with family
2cflu3pyq6,15/057,Friends with
2cflu3pyq6,25/057,No longer friends with
2cflu3pyq6,06/058,Friends with
2cflu3pyq6,15/058,Hofn Elementary School
2cflu3pyq6,02/060,Friends with
2cflu3pyq6,08/060,Moved to Bjurholm 9 with family
2cflu3pyq6,12/060,No longer friends with
2cflu3pyq6,03/061,Friends with
2cflu3pyq6,08/061,Friends with
2cflu3pyq6,02/062,No longer friends with
2cflu3pyq6,12/062,Friends with
2cflu3pyq6,27/063,Friends with
2cflu3pyq6,06/064,No longer friends with
2cflu3pyq6,10/064,Friends with
2cflu3pyq6,08/065,Graduated from Bjurholm Elementary School
2cflu3pyq6,11/065,Friends with
2cflu3pyq6,15/065,Bjurholm High School
2cflu3pyq6,22/066,Friends with
2cflu3pyq6,24/066,No longer friends with
2cflu3pyq6,01/067,Caught V2
2cflu3pyq6,16/068,Dating
2cflu3pyq6,28/068,Caught V1
2cflu3pyq6,06/070,Pregnant
2cflu3pyq6,08/070,Miscarriage
2cflu3pyq6,08/071,Graduated from Bjurholm High School
2cflu3pyq6,18/071,Fisherman
2cflu3pyq6,18/071,Pregnant
2cflu3pyq6,08/072,Engaged
2cflu3pyq6,12/072,born
2cflu3pyq6,15/072,Moved to Hofn 7
2cflu3pyq6,15/072,University of Hofn
2cflu3pyq6,19/072,Friends with
2cflu3pyq6,05/073,Married
2cflu3pyq6,12/073,Left home
2cflu3pyq6,12/073,Moved to Hofn 19
2cflu3pyq6,15/073,Wheat Farmer
2cflu3pyq6,27/073,Pregnant
2cflu3pyq6,21/074,born
2cflu3pyq6,04/075,Pregnant
2cflu3pyq6,25/075,born
2cflu3pyq6,08/076,Graduated from Hofn University
2cflu3pyq6,08/076,Moved to Bjurholm 13
2cflu3pyq6,13/076,Pregnant
2cflu3pyq6,02/077,Pig Farmer
2cflu3pyq6,07/077,born
2cflu3pyq6,11/078,No longer friends with
2cflu3pyq6,04/079,Pregnant
2cflu3pyq6,15/079,Moved to Hofn 8 with
2cflu3pyq6,15/079,Pig Farmer
2cflu3pyq6,22/079,Friends with
2cflu3pyq6,26/079,born
2cflu3pyq6,20/082,Caught V5
2cflu3pyq6,23/082,Friends with
2cflu3pyq6,08/083,Moved to Bjurholm 25 with
2cflu3pyq6,08/083,Barista
2cflu3pyq6,09/084,Unemployed
2cflu3pyq6,13/084,Caught V3
2cflu3pyq6,14/084,Moving to find work
2cflu3pyq6,14/084,Moved to Helluland 18
2cflu3pyq6,14/084,Midwife
2cflu3pyq6,15/084,Unemployed
2cflu3pyq6,15/084,Hunter
2cflu3pyq6,23/085,No longer friends with
2cflu3pyq6,15/086,Friends with
2cflu3pyq6,13/092,No longer friends with
2cflu3pyq6,18/092,Friends with
2cflu3pyq6,16/098,Caught V6
2cflu3pyq6,14/103,Friends with
2cflu3pyq6,27/112,Retired
2cflu3pyq6,27/133,Widowed
2cflu3pyq6,05/134,No longer friends with
2cflu3pyq6,17/134,Dating
2cflu3pyq6,23/134,Engaged
2cflu3pyq6,24/134,Friends with
2cflu3pyq6,28/134,Friends with
2cflu3pyq6,17/135,Married
2cflu3pyq6,17/135,Moved to Biruwa 9 with
2cflu3pyq6,20/138,Friends with
2cflu3pyq6,18/141,Friends with
2cflu3pyq6,09/150,Widowed
2cflu3pyq6,28/150,No longer friends with
2cflu3pyq6,04/151,Friends with
2cflu3pyq6,21/152,Dating
2cflu3pyq6,23/152,Single
2cflu3pyq6,11/154,Dating
2cflu3pyq6,22/154,Engaged
2cflu3pyq6,17/155,Married
2cflu3pyq6,17/155,Moved to Biruwa 54 with
2cflu3pyq6,04/159,Died from heart attack
d3y3cnsvwl,09/053,Born in Hofn 19
d3y3cnsvwl,08/055,Moved to Helvig 9 with family
d3y3cnsvwl,19/056,Friends with
d3y3cnsvwl,04/057,Friends with
d3y3cnsvwl,05/057,Friends with
d3y3cnsvwl,15/058,Helvig Elementary School
d3y3cnsvwl,21/060,Friends with
d3y3cnsvwl,08/065,Graduated from Helvig Elementary School
d3y3cnsvwl,11/065,Friends with
d3y3cnsvwl,15/065,Helvig High School
d3y3cnsvwl,28/066,Caught V2
d3y3cnsvwl,05/067,No longer friends with
d3y3cnsvwl,07/068,Dating
d3y3cnsvwl,11/069,Caught V1
d3y3cnsvwl,10/070,Florist
d3y3cnsvwl,28/070,Friends with
d3y3cnsvwl,08/071,Graduated from Helvig High School
d3y3cnsvwl,20/071,Friends with
d3y3cnsvwl,20/072,Left home
d3y3cnsvwl,20/072,Moved to Blonduos 9
d3y3cnsvwl,20/072,Single
d3y3cnsvwl,23/072,No longer friends with
d3y3cnsvwl,27/072,Dating
d3y3cnsvwl,28/072,Hairdresser
d3y3cnsvwl,03/073,born
d3y3cnsvwl,11/073,Engaged
d3y3cnsvwl,19/073,Unemployed
d3y3cnsvwl,28/073,Hairdresser
d3y3cnsvwl,02/074,Moved to Blonduos 12 with
d3y3cnsvwl,04/074,Married
d3y3cnsvwl,15/074,Moved to Hofn 21 with
d3y3cnsvwl,19/074,born
d3y3cnsvwl,02/075,Friends with
d3y3cnsvwl,08/075,Tailor
d3y3cnsvwl,20/075,Friends with
d3y3cnsvwl,23/075,Friends with
d3y3cnsvwl,27/075,Friends with
d3y3cnsvwl,13/076,born
d3y3cnsvwl,21/077,born
d3y3cnsvwl,08/078,Moved to Blonduos 13 with
d3y3cnsvwl,08/078,Elementary School Principal
d3y3cnsvwl,18/078,No longer friends with
d3y3cnsvwl,02/079,Friends with
d3y3cnsvwl,15/079,born
d3y3cnsvwl,25/082,Caught V5
d3y3cnsvwl,09/083,No longer friends with
d3y3cnsvwl,09/084,Caught V3
d3y3cnsvwl,12/085,Friends with
d3y3cnsvwl,12/085,Friends with
d3y3cnsvwl,08/091,Unemployed
d3y3cnsvwl,21/093,Florist
d3y3cnsvwl,25/093,Friends with
d3y3cnsvwl,19/095,No longer friends with
d3y3cnsvwl,25/095,Friends with
d3y3cnsvwl,27/096,Widowed
d3y3cnsvwl,07/097,Friends with
d3y3cnsvwl,19/097,Dating
d3y3cnsvwl,27/097,Engaged
d3y3cnsvwl,15/098,No longer friends with
d3y3cnsvwl,16/098,Caught V6
d3y3cnsvwl,19/098,Friends with
d3y3cnsvwl,25/098,Married
d3y3cnsvwl,01/102,No longer friends with
d3y3cnsvwl,04/102,Friends with
d3y3cnsvwl,12/104,No longer friends with
d3y3cnsvwl,22/104,Friends with
d3y3cnsvwl,01/107,Prostate cancer
d3y3cnsvwl,10/107,Died from prostate cancer
89uxxj3dgg,09/053,Born in Hofn 19
89uxxj3dgg,08/055,Moved to Helvig 9 with family
89uxxj3dgg,06/057,Friends with
89uxxj3dgg,11/057,Friends with
89uxxj3dgg,26/057,Friends with
89uxxj3dgg,15/058,Helvig Elementary School
89uxxj3dgg,07/059,Friends with
89uxxj3dgg,23/059,Friends with
89uxxj3dgg,23/063,Friends with
89uxxj3dgg,08/065,Graduated from Helvig Elementary School
89uxxj3dgg,13/065,Dating
89uxxj3dgg,15/065,Helvig High School
89uxxj3dgg,26/065,Friends with
89uxxj3dgg,22/066,Caught V2
89uxxj3dgg,15/067,No longer friends with
89uxxj3dgg,19/067,Friends with
89uxxj3dgg,21/067,No longer friends with
89uxxj3dgg,22/067,Friends with
89uxxj3dgg,06/069,Caught V1
89uxxj3dgg,21/069,Hairdresser
89uxxj3dgg,06/070,No longer friends with
89uxxj3dgg,08/071,Graduated from Helvig High School
89uxxj3dgg,11/071,Friends with
89uxxj3dgg,13/071,Single
89uxxj3dgg,19/071,Dating
89uxxj3dgg,23/071,Single
89uxxj3dgg,23/071,No longer friends with
89uxxj3dgg,27/071,born
89uxxj3dgg,28/071,Dating
89uxxj3dgg,01/072,Single
89uxxj3dgg,02/072,Dating
89uxxj3dgg,07/072,No longer friends with
89uxxj3dgg,10/072,Engaged
89uxxj3dgg,14/072,Friends with
89uxxj3dgg,15/072,Moved to Hofn 8 with
89uxxj3dgg,20/072,Friends with
89uxxj3dgg,23/072,Friends with
89uxxj3dgg,04/073,Married
89uxxj3dgg,05/073,born
89uxxj3dgg,08/073,Tailor
89uxxj3dgg,11/074,born
89uxxj3dgg,23/074,born
89uxxj3dgg,08/075,Moved to Helvig 16 with
89uxxj3dgg,08/075,Midwife
89uxxj3dgg,09/075,born
89uxxj3dgg,12/075,No longer friends with
89uxxj3dgg,15/075,Unemployed
89uxxj3dgg,22/075,Carpenter
89uxxj3dgg,27/075,born
89uxxj3dgg,10/076,Friends with
89uxxj3dgg,28/076,born
89uxxj3dgg,02/079,No longer friends with
89uxxj3dgg,14/079,Friends with
89uxxj3dgg,22/082,Caught V5
89uxxj3dgg,24/082,Friends with
89uxxj3dgg,10/084,Caught V3
89uxxj3dgg,17/084,born
89uxxj3dgg,20/089,Friends with
89uxxj3dgg,05/090,No longer friends with
89uxxj3dgg,13/090,Friends with
89uxxj3dgg,14/096,No longer friends with
89uxxj3dgg,20/096,Unemployed
89uxxj3dgg,22/096,Moved to Kiyobico 4 with
89uxxj3dgg,22/096,Barista
89uxxj3dgg,25/096,Friends with
89uxxj3dgg,27/096,No longer friends with
89uxxj3dgg,01/097,Friends with
89uxxj3dgg,22/098,Caught V6
89uxxj3dgg,17/100,No longer friends with
89uxxj3dgg,04/101,Friends with
89uxxj3dgg,25/102,No longer friends with
89uxxj3dgg,28/103,No longer friends with
89uxxj3dgg,22/104,Friends with
89uxxj3dgg,21/106,Friends with
89uxxj3dgg,26/109,No longer friends with
89uxxj3dgg,01/110,Friends with
89uxxj3dgg,19/113,Retired
89uxxj3dgg,11/115,Died from heart attack
3fqtkfcuzb,09/053,Born in Hofn 5
3fqtkfcuzb,08/054,Moved to Helvig 4 with family
3fqtkfcuzb,19/056,Friends with
3fqtkfcuzb,26/057,Friends with
3fqtkfcuzb,15/058,Helvig Elementary School
3fqtkfcuzb,16/062,Mother died
3fqtkfcuzb,08/065,Graduated from Helvig Elementary School
3fqtkfcuzb,15/065,Moved to Hofn 16 with family
3fqtkfcuzb,15/065,Hofn High School
3fqtkfcuzb,20/065,Friends with
3fqtkfcuzb,21/065,Friends with
3fqtkfcuzb,26/065,Friends with
3fqtkfcuzb,19/066,Moved to Hofn 6 with family
3fqtkfcuzb,27/066,Caught V2
3fqtkfcuzb,05/067,Dating
3fqtkfcuzb,05/067,No longer friends with
3fqtkfcuzb,09/067,Friends with
3fqtkfcuzb,10/067,Single
3fqtkfcuzb,10/067,No longer friends with
3fqtkfcuzb,25/067,Friends with
3fqtkfcuzb,03/068,Friends with
3fqtkfcuzb,05/068,Dating
3fqtkfcuzb,26/068,Single
3fqtkfcuzb,26/068,No longer friends with
3fqtkfcuzb,06/069,Caught V1
3fqtkfcuzb,08/069,Moved to Helvig 12 with family
3fqtkfcuzb,22/069,Friends with
3fqtkfcuzb,08/070,Friends with
3fqtkfcuzb,14/070,Friends with
3fqtkfcuzb,24/070,Friends with
3fqtkfcuzb,28/070,Friends with
3fqtkfcuzb,08/071,Graduated from Helvig High School
3fqtkfcuzb,15/071,Moved to Hofn 40
3fqtkfcuzb,15/071,University of Hofn
3fqtkfcuzb,15/071,Butcher
3fqtkfcuzb,28/071,Dating
3fqtkfcuzb,01/072,Single
3fqtkfcuzb,02/072,Dating
3fqtkfcuzb,08/072,Unemployed
3fqtkfcuzb,08/072,Midwife
3fqtkfcuzb,10/072,Engaged
3fqtkfcuzb,12/072,Pregnant
3fqtkfcuzb,15/072,Left home
3fqtkfcuzb,15/072,Moved to Hofn 8
3fqtkfcuzb,23/072,No longer friends with
3fqtkfcuzb,04/073,Friends with
3fqtkfcuzb,04/073,Married
3fqtkfcuzb,05/073,born
3fqtkfcuzb,02/074,Pregnant
3fqtkfcuzb,23/074,born
3fqtkfcuzb,05/075,Pregnant
3fqtkfcuzb,08/075,Graduated from Hofn University
3fqtkfcuzb,08/075,Moved to Helvig 16
3fqtkfcuzb,08/075,Wheat Farmer
3fqtkfcuzb,27/075,born
3fqtkfcuzb,08/076,Pregnant
3fqtkfcuzb,28/076,born
3fqtkfcuzb,24/078,No longer friends with
3fqtkfcuzb,08/079,Friends with
3fqtkfcuzb,19/082,Caught V5
3fqtkfcuzb,08/084,Caught V3
3fqtkfcuzb,14/090,No longer friends with
3fqtkfcuzb,19/090,Friends with
3fqtkfcuzb,12/092,Unemployed
3fqtkfcuzb,08/093,Fisherman
3fqtkfcuzb,15/093,Unemployed
3fqtkfcuzb,25/093,Friends with
3fqtkfcuzb,08/095,Barista
3fqtkfcuzb,15/096,Unemployed
3fqtkfcuzb,22/096,Moving to find work
3fqtkfcuzb,22/096,Moved to Kiyobico 4
3fqtkfcuzb,22/096,High School Principal
3fqtkfcuzb,08/098,Unemployed
3fqtkfcuzb,09/098,Mathematics Professor
3fqtkfcuzb,16/098,No longer friends with
3fqtkfcuzb,20/098,Caught V6
3fqtkfcuzb,06/099,Friends with
3fqtkfcuzb,08/099,Unemployed
3fqtkfcuzb,08/099,Hairdresser
3fqtkfcuzb,03/101,No longer friends with
3fqtkfcuzb,07/101,Friends with
3fqtkfcuzb,07/105,Friends with
3fqtkfcuzb,27/106,Friends with
3fqtkfcuzb,25/108,Friends with
3fqtkfcuzb,02/113,Retired
3fqtkfcuzb,11/115,Widowed
3fqtkfcuzb,02/116,No longer friends with
3fqtkfcuzb,10/116,Dating
3fqtkfcuzb,14/116,Friends with
3fqtkfcuzb,18/116,Engaged
3fqtkfcuzb,14/117,Married
3fqtkfcuzb,14/117,Moved to Kiyobico 16 with
3fqtkfcuzb,17/118,Widowed
3fqtkfcuzb,04/119,Friends with
3fqtkfcuzb,08/119,Dating
3fqtkfcuzb,08/119,Single
3fqtkfcuzb,08/119,No longer friends with
3fqtkfcuzb,25/119,Friends with
3fqtkfcuzb,12/120,Friends with
3fqtkfcuzb,26/120,Dating
3fqtkfcuzb,05/121,Single
3fqtkfcuzb,05/121,No longer friends with
3fqtkfcuzb,17/121,Friends with
3fqtkfcuzb,25/121,Dating
3fqtkfcuzb,28/121,Single
3fqtkfcuzb,20/122,Dating
3fqtkfcuzb,27/122,Friends with
3fqtkfcuzb,05/123,Engaged
3fqtkfcuzb,27/123,Married
3fqtkfcuzb,27/123,Moved to Kiyobico 11 with
3fqtkfcuzb,26/124,Friends with
3fqtkfcuzb,04/127,Skin cancer
3fqtkfcuzb,05/127,Died from skin cancer
rsgkt8ws43,11/053,Born in Hofn 28
rsgkt8ws43,08/055,Moved to Vardo 14 with family
rsgkt8ws43,08/057,Friends with
rsgkt8ws43,15/058,Vardo Elementary School
rsgkt8ws43,08/059,Friends with
rsgkt8ws43,13/060,Friends with
rsgkt8ws43,28/061,Friends with
rsgkt8ws43,08/065,Graduated from Vardo Elementary School
rsgkt8ws43,15/065,Vardo High School
rsgkt8ws43,28/065,Moved to Vardo 10 with family
rsgkt8ws43,01/067,Mother died
rsgkt8ws43,04/067,Caught V2
rsgkt8ws43,07/067,Friends with
rsgkt8ws43,21/067,Dating
rsgkt8ws43,22/067,Single
rsgkt8ws43,22/067,No longer friends with
rsgkt8ws43,04/068,No longer friends with
rsgkt8ws43,15/068,Dating
rsgkt8ws43,25/068,Friends with
rsgkt8ws43,26/068,Single
rsgkt8ws43,26/068,No longer friends with
rsgkt8ws43,06/069,Caught V1
rsgkt8ws43,11/069,Chef
rsgkt8ws43,27/069,Friends with
rsgkt8ws43,11/070,Friends with
rsgkt8ws43,11/070,Dating
rsgkt8ws43,17/070,No longer friends with
rsgkt8ws43,07/071,Engaged
rsgkt8ws43,08/071,Graduated from Vardo High School
rsgkt8ws43,15/071,Moved to Hofn 25 with family
rsgkt8ws43,24/071,born
rsgkt8ws43,01/072,Friends with
rsgkt8ws43,03/072,Married
rsgkt8ws43,08/072,Diary Farmer
rsgkt8ws43,13/072,Left home
rsgkt8ws43,13/072,Moved to Vardo 5
rsgkt8ws43,13/072,Florist
rsgkt8ws43,15/072,Moved to Hofn 20
rsgkt8ws43,15/072,University of Hofn
rsgkt8ws43,15/073,Toymaker
rsgkt8ws43,20/073,born
rsgkt8ws43,08/074,Unemployed
rsgkt8ws43,09/074,Baker
rsgkt8ws43,18/075,No longer friends with
rsgkt8ws43,26/075,Friends with
rsgkt8ws43,03/076,born
rsgkt8ws43,08/076,Graduated from Hofn University
rsgkt8ws43,27/076,No longer friends with
rsgkt8ws43,28/076,Friends with
rsgkt8ws43,11/077,born
rsgkt8ws43,10/078,born
rsgkt8ws43,09/079,No longer friends with
rsgkt8ws43,22/079,Friends with
rsgkt8ws43,18/080,No longer friends with
rsgkt8ws43,24/080,Friends with
rsgkt8ws43,25/080,born
rsgkt8ws43,18/082,No longer friends with
rsgkt8ws43,20/082,No longer friends with
rsgkt8ws43,23/082,Friends with
rsgkt8ws43,23/082,Friends with
rsgkt8ws43,23/082,Caught V5
rsgkt8ws43,13/084,Caught V3
rsgkt8ws43,08/085,Unemployed
rsgkt8ws43,08/085,Butcher
rsgkt8ws43,03/097,Unemployed
rsgkt8ws43,07/097,Butcher
rsgkt8ws43,17/098,Caught V6
rsgkt8ws43,16/100,Lung cancer
rsgkt8ws43,18/100,Died from lung cancer
e69b32gr7s,13/053,Born in Hofn 7
e69b32gr7s,08/054,Moved to Bjurholm 11 with family
e69b32gr7s,15/058,Bjurholm Elementary School
e69b32gr7s,14/059,Friends with
e69b32gr7s,02/060,Friends with
e69b32gr7s,15/060,Moved to Hofn 6 with family
e69b32gr7s,19/060,Friends with
e69b32gr7s,26/060,No longer friends with
e69b32gr7s,26/063,Friends with
e69b32gr7s,03/064,Friends with
e69b32gr7s,08/064,Moved to Bjurholm 1 with family
e69b32gr7s,08/065,Graduated from Bjurholm Elementary School
e69b32gr7s,15/065,Bjurholm High School
e69b32gr7s,01/067,Caught V2
e69b32gr7s,02/068,Dating
e69b32gr7s,28/068,Caught V1
e69b32gr7s,15/069,Diary Farmer
e69b32gr7s,08/071,Graduated from Bjurholm High School
e69b32gr7s,16/071,born
e69b32gr7s,19/072,Left home
e69b32gr7s,19/072,Moved to Shinobi 5
e69b32gr7s,19/072,Single
e69b32gr7s,19/072,Stonemason
e69b32gr7s,27/072,Dating
e69b32gr7s,05/073,Engaged
e69b32gr7s,26/073,Moved to Vardo 3 with
e69b32gr7s,26/073,Married
e69b32gr7s,13/074,Moved to Vardo 19 with
e69b32gr7s,03/075,Tailor
e69b32gr7s,18/075,born
e69b32gr7s,19/075,born
e69b32gr7s,06/077,No longer friends with
e69b32gr7s,05/079,Friends with
e69b32gr7s,09/080,born
e69b32gr7s,02/082,born
e69b32gr7s,21/082,Caught V5
e69b32gr7s,07/083,born
e69b32gr7s,11/084,Caught V3
e69b32gr7s,17/085,born
e69b32gr7s,15/101,Unemployed
e69b32gr7s,04/102,Accountant
e69b32gr7s,17/102,Unemployed
e69b32gr7s,05/105,Moved to Vardo 32 with
e69b32gr7s,18/105,Hairdresser
e69b32gr7s,22/105,Asthma
e69b32gr7s,07/108,Friends with
e69b32gr7s,22/111,Severe asthma
e69b32gr7s,13/112,Prostate cancer
e69b32gr7s,15/113,Retired
e69b32gr7s,03/114,Asthma
e69b32gr7s,03/114,Died from prostate cancer
9c57pwq8rm,13/053,Born in Hofn 7
9c57pwq8rm,08/054,Moved to Bjurholm 11 with family
9c57pwq8rm,13/055,B2 infection
9c57pwq8rm,18/055,Recovered from B2
